,budget,id,imdb_id,original_language,original_title,release_date,revenue,runtime,vote_average,vote_count
0,0,240664,tt3149906,en,"The Video Dating Tape of Desmondo Ray, Aged 33 & 3/4",2013-09-01,0,4,5.5,5
0,0,232831,,en,Bellator 105,2013-10-24,0,87,5.3,2
0,0,134666,tt2062497,en,Breakfast with Curtis,2013-12-04,0,84,3.0,2
0,0,220016,tt2846974,en,Hur m?nga kramar finns det i v?rlden?,2013-08-16,0,95,3.8,4
0,0,268904,tt2882538,de,Willkommen im Club,2013-09-03,0,,4.3,3
0,0,337568,tt2561812,en,Jack Attack,2013-01-01,0,8,6.8,5
0,0,217425,tt3142242,en,Il sud ? niente,2013-09-08,0,90,7.3,4
0,0,218262,tt3092606,en,Memphis,2013-08-31,0,84,5.6,6
0,0,283542,tt2940138,en,Ni Jing,2013-11-09,0,29,8.1,5
0,0,242599,,fr,Christophe Ma? - Je veux du bonheur,2013-11-18,0,0,5.0,2
0,0,268526,tt3424814,de,Die kleine Meerjungfrau,2013-11-14,0,,5.5,2
0,0,268546,tt2959352,sl,Gremo mi po svoje 2,2013-11-07,0,94,8.8,2
0,0,213587,tt2368527,ja,???????????,2013-04-25,0,114,6.3,3
0,0,303264,tt2222716,en,Baat Bann Gayi,2013-10-11,0,0,5.0,2
0,0,281930,tt3099368,fr,Les Fran?ois,2013-07-20,0,,0.0,0
0,0,445478,tt2112684,en,Sport in America: Our Defining Stories,2013-11-28,0,31,0.0,0
0,0,171565,tt2717168,ml,????????????,2013-02-14,680000,129,7.0,4
0,0,214979,tt2066123,en,The Profane Exhibit,2013-01-01,0,90,1.0,1
0,0,217596,tt2401719,en,Prague,2013-09-26,0,105,5.5,2
0,0,305969,tt2014225,en,Forever's End,2013-06-07,0,92,3.4,4
0,0,300455,tt3646316,en,La testa tra le nuvole,2013-01-01,0,8,5.3,3
0,0,212248,tt2404376,es,El babysitter,2013-01-24,0,90,4.2,3
0,0,221766,,en,Graham Parker & The Rumour: This Is Live,2013-08-20,0,55,4.3,2
0,0,215646,tt2387601,en,The Special Need,2013-01-23,0,84,4.5,2
0,0,220049,tt3123188,en,Three Landscapes,2013-09-09,0,47,8.5,2
0,0,171666,tt2635824,en,We Ride: The Story of Snowboarding,2013-01-31,0,92,8.0,1
0,0,231263,tt2549138,en,Little Hope Was Arson,2013-10-19,0,71,5.6,5
0,0,234555,tt2359814,en,Speciesism: The Movie,2013-09-18,0,90,6.5,2
0,0,102862,tt2294679,en,Informant,2013-09-13,0,80,5.5,5
0,0,203597,,it,The Prodigal Returns - The Interview,2013-05-30,0,0,10.0,2
0,0,227824,tt3141672,it,Ultimo - L'occhio del falco,2013-01-07,0,,5.8,4
0,0,196262,tt2794560,en,Return of the Buratino,2013-04-24,0,76,3.8,2
0,0,191552,,en,Mayweather vs. Guerrero,2013-05-04,0,48,8.5,1
0,0,303363,tt3098396,en,Controller,2013-08-01,0,9,6.7,3
0,0,246096,tt1477185,en,7E,2013-12-10,0,80,3.3,4
0,0,239160,tt3596332,it,Il segreto,2013-11-22,0,89,5.0,3
0,0,219064,tt2851294,en,Sickfuckpeople,2013-04-28,0,74,8.0,4
0,1800000,255993,tt2498312,en,Bachchan,2013-04-11,0,145,6.1,4
0,0,153827,tt2258888,fr,L'enclos du temps,2013-01-24,0,64,0.0,0
0,0,291437,tt2872380,en,Il Rosa Nudo,2013-04-24,0,71,4.3,2
0,0,284596,,en,Drawn,2013-04-19,0,3,5.0,2
0,18000,212494,tt2637580,en,Don't Go to the Reunion,2013-10-05,0,70,4.9,6
0,0,166731,,fr,Police Patrol,2013-01-01,0,75,5.0,2
0,0,473371,tt2794728,tr,Hile Yolu,2013-04-26,0,,0.0,0
0,0,236330,tt2172085,en,?mheten,2013-12-06,0,80,4.0,3
0,0,163705,,en,The Reward,2013-01-25,0,9,4.8,4
0,0,244910,tt2768462,en,The Editor and The Dragon: Horace Carter Fights the Klan,2013-01-01,0,58,10.0,1
0,0,257208,tt3515668,en,Breakfast Wine,2013-07-01,0,12,0.0,0
0,0,121799,tt1981059,en,Satellite of Love,2013-03-05,0,79,4.8,2
0,0,236208,tt2887694,en,Bavarian direct - Huberbuam extrem,2013-02-24,0,1,4.0,2
0,0,185896,tt2619250,pt,Malaria,2013-01-10,0,6,7.5,2
0,0,219781,tt2261629,en,Hilton!,2013-01-01,0,71,6.5,2
0,0,159675,tt2413494,en,The Roper,2013-01-16,0,6,6.0,2
0,0,303886,tt2396659,en,Before I Sleep,2013-10-19,0,82,10.0,1
0,0,243496,tt2400355,en,Howard Cantour.com,2013-12-16,0,12,3.0,3
0,0,177843,tt2725818,de,Verratene Freunde,2013-03-14,0,0,6.5,1
0,0,219055,tt2325761,en,Je m'appelle Hmmm...,2013-10-07,0,121,7.0,1
0,50000,223709,tt2656122,de,Nashorn im Galopp,2013-02-13,0,15,5.8,4
0,700000,187442,tt2842470,es,Asu Mare,2013-04-11,0,90,6.0,3
0,0,204784,tt2515242,en,Anna Nicole,2013-06-29,0,90,5.0,21
0,0,230458,tt2911632,it,Carlo!,2013-06-03,0,,4.0,1
0,0,236808,tt3329246,ta,?????? 2 ??????,2013-11-14,0,102,5.7,3
0,0,472027,,en,Batman: The Dark Knight Returns (Deluxe Edition),2013-10-08,0,148,0.0,0
0,0,221897,,ko,????: ???? ????,2013-08-29,0,90,10.0,1
0,0,238544,tt2875816,en,Ella,2013-10-25,0,15,5.3,2
0,0,259241,tt3379694,en,Soshite dorobune wa yuku,2013-10-23,0,88,4.2,5
0,0,186445,tt2542842,es,Ilusi?n,2013-06-28,0,65,0.0,0
0,0,275404,tt3006432,en,VeggieTales: MacLarry and the Stinky Cheese Battle,2013-01-01,0,0,0.0,0
0,0,260847,tt3336632,en,"Actores, S.A.",2013-11-15,0,95,6.0,1
0,0,214671,tt2014351,en,Spinning Plates,2013-10-25,0,98,5.6,5
0,0,215752,tt2820486,en,The Trainer,2013-06-21,0,0,3.7,3
0,0,159167,tt2354495,en,The World According to Dick Cheney,2013-01-18,0,105,7.0,4
0,0,309766,tt3296746,it,The Scarecrow,2013-09-11,0,4,8.0,1
0,0,152273,tt2645000,en,The Sarnos: A Life in Dirty Movies,2013-03-27,0,78,7.3,3
0,0,273745,tt2177180,en,A Year in Burgundy,2013-12-03,0,88,7.6,5
0,0,288410,tt3315968,en,Comics in Focus: Chris Claremont?s X-Men,2013-10-26,0,41,0.0,0
0,0,242287,tt3531670,en,What is... Puscifer,2013-11-26,0,116,8.5,2
0,1000000,199602,tt2917916,sl,Dvojina,2013-08-22,0,102,7.9,4
0,0,214215,tt2071465,en,Les Interdits,2013-11-27,0,92,6.3,3
0,15,254931,,en,Playmobil: Dragons,2013-09-06,0,11,0.0,0
0,1000000,169634,tt2245906,uk,?i?i ????????? ?????i?,2013-11-14,0,95,5.0,3
0,0,209408,tt2184430,en,Swordsman,2013-03-03,0,0,8.0,1
0,0,191538,tt2627140,en,Judge Minty,2013-05-05,0,27,7.6,5
0,0,178476,tt2404519,en,3G,2013-03-14,0,124,3.4,4
0,0,243784,tt3342338,en,The Assassination of President Kennedy,2013-11-15,0,120,7.0,2
0,0,187291,tt2675318,en,Devils of War,2013-01-01,0,75,2.6,5
0,0,225762,tt3198544,en,Breakfast With Jonny Wilkinson,2013-11-22,0,0,6.3,2
0,0,231025,tt2802496,en,Sixteen,2013-10-13,0,80,3.0,1
0,0,165640,tt2375664,en,Betty and Coretta,2013-02-02,0,90,6.0,2
0,0,296149,tt2341971,en,55 & Older,2013-08-08,0,98,3.0,2
0,0,339066,tt2710942,mk,???? ?? ??????,2013-09-15,0,103,6.5,2
0,0,195737,tt2805974,en,Jatts in Golmaal,2013-05-24,0,0,7.3,4
0,0,226654,tt2776882,hr,Zagonetni dje?ak,2013-02-27,0,88,0.0,0
0,0,325202,tt2350164,es,Ni?os Robados,2013-10-17,0,0,7.0,2
0,0,224169,tt2784204,ig,B for Boy,2013-10-12,0,118,10.0,1
0,0,263770,,en,Kata Hati,2013-02-14,0,86,5.5,2
0,0,193986,tt1995400,en,Piercing Brightness,2013-06-01,0,81,3.4,4
0,0,245493,tt3422428,ml,??? ?????? ????????,2013-12-20,0,145,5.3,2
0,0,229693,tt3309038,en,Supervention,2013-10-24,0,99,6.7,5
0,0,427088,,en,Depeche Mode: Live At Optimus Alive,2013-07-13,0,120,10.0,1
0,0,240310,,en,A Tentative Gangster,2013-09-15,0,10,4.0,1
0,0,254010,tt2869762,en,Panzer Chocolate,2013-11-22,0,84,5.0,2
0,0,222796,tt2689992,en,Avant que de tout perdre,2013-01-23,0,29,4.0,2
0,0,460275,tt2852316,en,Tuna,2013-01-01,0,59,5.0,1
0,0,254045,tt3113176,ru,???????,2013-04-03,0,100,5.1,5
0,0,238177,tt3486648,en,Jimmy Carr: Laughing and Joking,2013-11-17,0,92,8.0,3
0,2968512,207902,tt1808513,pl,Syberiada Polska,2013-02-22,0,125,6.0,2
0,0,221417,,en,Alps 3D: Paradise of Europe,2013-09-13,0,0,0.0,0
