,id,movie_id,name
0,27.0,98,DreamWorks SKG
1,33.0,98,Universal Pictures
2,1645.0,98,Scott Free Productions
3,14440.0,98,Red Wagon Entertainment
4,21904.0,98,Mill Film
5,21905.0,98,C & L
6,21906.0,98,Dawliz
7,347.0,2024,Centropolis Entertainment
8,441.0,2024,Columbia Pictures Corporation
9,762.0,2024,Mutual Film Company
10,9269.0,2024,Global Entertainment Productions GmbH & Company Medien KG
11,1607.0,4247,Gold/Miller Productions
12,1608.0,4247,Wayans Bros. Entertainment
13,7405.0,4247,Dimension Films
14,10958.0,4247,Brad Grey Pictures
15,491.0,77,Summit Entertainment
16,506.0,77,Newmarket Capital Group
17,598.0,77,Team Todd
18,34446.0,77,I Remember Productions
19,11446.0,40096,Lereby Productions
20,13969.0,40096,Globo Filmes
21,4.0,955,Paramount Pictures
22,44.0,955,Cruise/Wagner Productions
23,51199.0,955,Munich Film Partners & Company (MFP) MI2 Productions
24,130.0,9679,Jerry Bruckheimer Films
25,9195.0,9679,Touchstone Pictures
26,35.0,1359,Lions Gate Films
27,6455.0,1359,Edward R. Pressman Film
28,15231.0,1359,Muse Productions
29,288.0,71,BBC Films
30,686.0,71,Tiger Aspect Productions
31,694.0,71,StudioCanal
32,718.0,71,Arts Council of England
33,10163.0,71,Working Title Films
34,10462.0,71,WT2 Productions
35,2.0,11688,Walt Disney Pictures
36,10217.0,11688,Walt Disney Feature Animation
37,23.0,8871,Imagine Entertainment
38,33.0,8871,Universal Pictures
39,27.0,7443,DreamWorks SKG
40,297.0,7443,Aardman Animations
41,521.0,7443,DreamWorks Animation
42,7981.0,7443,Path?
43,441.0,107,Columbia Pictures Corporation
44,3287.0,107,Screen Gems
45,13419.0,107,SKA Films
46,306.0,1636,Twentieth Century Fox Film Corporation
47,508.0,1636,Regency Enterprises
48,73949.0,1636,KirchMedia
49,6194.0,2133,Warner Bros.
50,16061.0,2133,Baltimore Spring Creek Productions
51,18990.0,2133,Radiant Productions
52,89312.0,12509,Fred Berner Films
53,89425.0,12509,Zeke Productions
54,4.0,3981,Paramount Pictures
55,347.0,3981,Centropolis Entertainment
56,4564.0,3981,Icon Entertainment International
57,8116.0,3981,Wind Dancer Productions
58,6194.0,10393,Warner Bros.
59,3683.0,9741,Limited Edition Productions Inc.
60,9195.0,9741,Touchstone Pictures
61,12236.0,9741,Blinding Edge Pictures
62,17032.0,9741,Barry Mendel Productions
63,27.0,8358,DreamWorks SKG
64,306.0,8358,Twentieth Century Fox Film Corporation
65,4171.0,8358,Playtone
66,11395.0,8358,ImageMovers
67,14.0,10867,Miramax Films
68,1702.0,10867,Medusa Produzione
69,5.0,786,Columbia Pictures
70,485.0,786,Vinyl Films
71,7293.0,786,DreamWorks Pictures
72,12.0,9532,New Line Cinema
73,3169.0,9532,Zide-Perry Productions
74,48772.0,9532,Hard Eight Pictures
75,158.0,8584,Spyglass Entertainment
76,961.0,8584,Roger Birnbaum Productions
77,9195.0,8584,Touchstone Pictures
78,3.0,13930,Pixar Animation Studios
79,27.0,9285,DreamWorks SKG
80,2364.0,9285,The Montecito Picture Company
81,306.0,8859,Twentieth Century Fox Film Corporation
82,1088.0,8859,Alcon Entertainment
83,1403.0,2069,Franchise Pictures
84,6194.0,2069,Warner Bros.
85,10210.0,2069,Morgan Creek Productions
86,51772.0,2069,Nine Yards Productions
87,53013.0,2069,Rational Packaging Company
88,53014.0,2069,Lansdown Films
89,8.0,16,Fine Line Features
90,76.0,16,Zentropa Entertainments
91,119.0,16,Danmarks Radio (DR)
92,157.0,16,SVT Drama
93,201.0,16,Arte
94,321.0,16,Memfis Film
95,591.0,16,France 3 Cin?ma
96,2996.0,16,Angel films
97,4524.0,16,TV 1000
98,5358.0,16,Canal+
99,5755.0,16,Constantin Film Produktion
100,5975.0,16,Yleisradio (YLE)
101,6916.0,16,Arte France Cin?ma
102,7025.0,16,Westdeutscher Rundfunk (WDR)
