,id,movie_id,name
0,491.0,77,Summit Entertainment
1,506.0,77,Newmarket Capital Group
2,598.0,77,Team Todd
3,34446.0,77,I Remember Productions
4,27.0,98,DreamWorks SKG
5,33.0,98,Universal Pictures
6,1645.0,98,Scott Free Productions
7,14440.0,98,Red Wagon Entertainment
8,21904.0,98,Mill Film
9,21905.0,98,C & L
10,21906.0,98,Dawliz
11,35.0,1359,Lions Gate Films
12,6455.0,1359,Edward R. Pressman Film
13,15231.0,1359,Muse Productions
14,27.0,8358,DreamWorks SKG
15,306.0,8358,Twentieth Century Fox Film Corporation
16,4171.0,8358,Playtone
17,11395.0,8358,ImageMovers
18,27.0,7443,DreamWorks SKG
19,297.0,7443,Aardman Animations
20,521.0,7443,DreamWorks Animation
21,7981.0,7443,Path?
22,4.0,955,Paramount Pictures
23,44.0,955,Cruise/Wagner Productions
24,51199.0,955,Munich Film Partners & Company (MFP) MI2 Productions
25,441.0,107,Columbia Pictures Corporation
26,3287.0,107,Screen Gems
27,13419.0,107,SKA Films
28,6194.0,2133,Warner Bros.
29,16061.0,2133,Baltimore Spring Creek Productions
30,18990.0,2133,Radiant Productions
31,130.0,6282,Jerry Bruckheimer Films
32,9195.0,6282,Touchstone Pictures
33,11446.0,40096,Lereby Productions
34,13969.0,40096,Globo Filmes
35,58.0,146,Sony Pictures Classics
36,2269.0,146,China Film Co-Production Corporation
37,2798.0,146,Columbia Pictures Film Production Asia
38,10565.0,146,Good Machine
39,12205.0,146,EDKO Film
40,20289.0,146,Asia Union Film & Entertainment Ltd.
41,20290.0,146,United China Vision
42,20291.0,146,Zoom Hunt International Productions Company Ltd.
43,2.0,11688,Walt Disney Pictures
44,10217.0,11688,Walt Disney Feature Animation
45,347.0,2024,Centropolis Entertainment
46,441.0,2024,Columbia Pictures Corporation
47,762.0,2024,Mutual Film Company
48,9269.0,2024,Global Entertainment Productions GmbH & Company Medien KG
49,14.0,10862,Miramax Films
50,6194.0,10393,Warner Bros.
51,12.0,9532,New Line Cinema
52,3169.0,9532,Zide-Perry Productions
53,48772.0,9532,Hard Eight Pictures
54,288.0,71,BBC Films
55,686.0,71,Tiger Aspect Productions
56,694.0,71,StudioCanal
57,718.0,71,Arts Council of England
58,10163.0,71,Working Title Films
59,10462.0,71,WT2 Productions
60,359.0,1907,Figment Films
61,2.0,16187,Walt Disney Pictures
62,3.0,16187,Pixar Animation Studios
63,3475.0,16187,Walt Disney Television Animation
64,1607.0,4247,Gold/Miller Productions
65,1608.0,4247,Wayans Bros. Entertainment
66,7405.0,4247,Dimension Films
67,10958.0,4247,Brad Grey Pictures
68,2.0,4244,Walt Disney Pictures
69,130.0,9679,Jerry Bruckheimer Films
70,9195.0,9679,Touchstone Pictures
71,2108.0,6521,Battleplan Productions
72,7293.0,6521,DreamWorks Pictures
73,5.0,4327,Columbia Pictures
74,14.0,19457,Miramax Films
75,376.0,19457,Industry Entertainment
76,2479.0,2440,Myung Film Company
77,7036.0,2440,CJ Entertainment
78,306.0,8859,Twentieth Century Fox Film Corporation
79,1088.0,8859,Alcon Entertainment
80,906.0,10562,Revelations Entertainment
81,7799.0,10562,TF1 International
82,306.0,2123,Twentieth Century Fox Film Corporation
83,1156.0,2123,Conundrum Entertainment
84,3032.0,3176,Nippon Shuppan Hanbai (Nippan) K.K.
85,3656.0,3176,GAGA
86,5073.0,3176,WoWow
87,11538.0,3176,AM Associates
88,11539.0,3176,Kobi Co.
89,11540.0,3176,MF Pictures
90,79.0,1493,Village Roadshow Pictures
91,97.0,1493,Castle Rock Entertainment
92,172.0,1493,NPV Entertainment
93,4258.0,1493,Fortis Films
94,27.0,10501,DreamWorks SKG
95,521.0,10501,DreamWorks Animation
96,14.0,10867,Miramax Films
97,1702.0,10867,Medusa Produzione
98,12.0,8843,New Line Cinema
99,1565.0,8843,Avery Pix
100,11152.0,8843,Radical Media
101,26083.0,8843,Katira Productions GmbH & Co. KG
102,26084.0,8843,Caro-McLeod
103,83.0,30970,France 2 Cin?ma
104,635.0,30970,Les Films Alain Sarde
105,1704.0,30970,Bavaria Film
106,4606.0,30970,Zweites Deutsches Fernsehen (ZDF)
107,5358.0,30970,Canal+
108,6916.0,30970,Arte France Cin?ma
109,9209.0,30970,MK2 Productions
110,57661.0,30970,Filmex
111,78962.0,30970,Romanian Culture Ministry
112,441.0,9383,Columbia Pictures Corporation
113,9269.0,9383,Global Entertainment Productions GmbH & Company Medien KG
114,539.0,843,Block 2 Pictures
115,540.0,843,Jet Tone Production
116,831.0,10873,Saturn Films
117,3683.0,9741,Limited Edition Productions Inc.
118,9195.0,9741,Touchstone Pictures
119,12236.0,9741,Blinding Edge Pictures
120,17032.0,9741,Barry Mendel Productions
121,572.0,876,New Amsterdam Entertainment
122,2493.0,876,Tandem Communications
123,14.0,10688,Miramax Films
124,4731.0,10688,double A Films
125,23.0,8871,Imagine Entertainment
126,33.0,8871,Universal Pictures
127,1285.0,3134,Toute Premiere Fois
128,5358.0,3134,Canal+
129,5942.0,3134,Take One Productions
130,7009.0,3134,Pan Europ?enne Productions
131,12.0,10471,New Line Cinema
132,97.0,11983,Castle Rock Entertainment
133,6194.0,11983,Warner Bros.
134,414.0,711,Fountainbridge Films
135,415.0,711,Laurence Mark Productions
136,441.0,711,Columbia Pictures Corporation
137,50830.0,711,Finding Forrester Productions
138,788.0,10647,Bel Air Entertainment
139,6194.0,10647,Warner Bros.
140,3.0,13930,Pixar Animation Studios
141,333.0,12212,Original Film
142,11317.0,12212,Phoenix Pictures
143,53473.0,12212,Canal+ Droits Audiovisuels
144,758.0,12609,TV2 Danmark
145,2737.0,12211,Davis-Panzer Productions
146,7405.0,12211,Dimension Films
147,5084.0,55,Altavista Films
148,11230.0,55,Zeta Film
149,27.0,1597,DreamWorks SKG
150,33.0,1597,Universal Pictures
151,11391.0,1597,Tribeca Productions
152,41248.0,1597,Nancy Tenenbaum Films
153,1885.0,2085,Silver Pictures
154,6194.0,2085,Warner Bros.
155,2188.0,10763,Artisan Entertainment
156,37163.0,10763,Sandcastle 5 Productions
157,915.0,29076,Hollywood Pictures
158,4258.0,29076,Fortis Films
159,5.0,10560,Columbia Pictures
160,987.0,1900,USA Films
161,7380.0,1900,Initial Entertainment Group (IEG)
162,20634.0,1900,"Bedford Falls Company, The"
163,58333.0,1900,Compulsion Inc.
164,58334.0,1900,Splendid Medien AG
165,33.0,134,Universal Pictures
166,2092.0,134,Mike Zoss Productions
